technology,planning_year,capex_mw,capex_mwh,fixed_o_m_mw,fixed_o_m_mwh,variable_o_m_mwh,wacc_real,dollar_year,heat_rate,notes
Nuclear_mid,2020,7112287.043,0,118988.2122,0,2.31827112,0.027912474,2018,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018"
Nuclear_mid,2025,6928866.991,0,118988.2122,0,2.31827112,0.027912474,2018,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018"
Nuclear_mid,2030,6727799.801,0,118988.2122,0,2.31827112,0.033416612,2018,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018"
Nuclear_mid,2035,6505116.815,0,118988.2122,0,2.31827112,0.033416612,2018,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018"
Nuclear_mid,2040,6266012.271,0,118988.2122,0,2.31827112,0.033416612,2018,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018"
Nuclear_mid,2045,6048042.075,0,118988.2122,0,2.31827112,0.033416612,2018,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018"
Nuclear_mid,2050,5768088.584,0,118988.2122,0,2.31827112,0.033416612,2018,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018"
CSP_Class5_10hoursTES,2020,7109828.119,0,67612.05,0,4.2001425,0.041317767,2018,8.28,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018, 41.2% efficiency, 63.8% average annual capacity factor"
CSP_Class5_10hoursTES,2025,5723997.215,0,60872.0226,0,3.5854875,0.032138773,2018,8.28,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018, 41.2% efficiency, 63.8% average annual capacity factor"
CSP_Class5_10hoursTES,2030,4922924.289,0,52446.98834,0,3.5854875,0.037301408,2018,8.28,"taken from PUDL_database, NREL ATB, mid-market scenarios atb_year = 2020, dollar_year = 2018, 41.2% efficiency, 63.8% average annual capacity factor"
