technology,planning_year,capex_mw,capex_mwh,fixed_o_m_mw,fixed_o_m_mwh,variable_o_m_mwh,wacc_nominal,dollar_year,heat_rate,notes
Nuclear_mid,2020,6530277.053,0,100889,0,2.314,0.07138931,2017,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Nuclear_mid,2025,6328973.792,0,100889,0,2.314,0.07138931,2017,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Nuclear_mid,2030,6179955.32,0,100889,0,2.314,0.07138931,2017,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Nuclear_mid,2035,6013193.637,0,100889,0,2.314,0.07138931,2017,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Nuclear_mid,2040,5843500.925,0,100889,0,2.314,0.07138931,2017,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Nuclear_mid,2045,5682236.305,0,100889,0,2.314,0.07138931,2017,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Nuclear_mid,2050,5470758.649,0,100889,0,2.314,0.07138931,2017,10.461,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_IGCCAvgCF,2020,4248040.292,0,54000,0,8,0.102310832,2017,8.3875,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_IGCCAvgCF,2025,4037566.629,0,54000,0,8,0.101893686,2017,7.866666667,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_IGCCAvgCF,2030,3925978.945,0,54000,0,8,0.10138931,2017,7.45,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_IGCCAvgCF,2035,3835640.959,0,54000,0,8,0.101382269,2017,7.45,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_IGCCAvgCF,2040,3759004.347,0,54000,0,8,0.101611241,2017,7.45,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_IGCCAvgCF,2045,3694765.885,0,54000,0,8,0.101263536,2017,7.45,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_IGCCAvgCF,2050,3597576.29,0,54000,0,8,0.101340837,2017,7.45,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_CCS90AvgCF,2020,6044597.532,0,80000,0,10,0.072310832,2017,11.05175,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_CCS90AvgCF,2025,5877728.995,0,80000,0,10,0.071893686,2017,10.05466667,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_CCS90AvgCF,2030,5759410.482,0,80000,0,10,0.07138931,2017,9.257,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_CCS90AvgCF,2035,5624610.819,0,80000,0,10,0.071382269,2017,9.257,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_CCS90AvgCF,2040,5487053.553,0,80000,0,10,0.071611241,2017,9.257,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_CCS90AvgCF,2045,5357416.706,0,80000,0,10,0.071263536,2017,9.257,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
Coal_CCS90AvgCF,2050,5180269.612,0,80000,0,10,0.071340837,2017,9.257,"taken from PUDL_database, NREL ATB, mid-market scenarios check  dollar_year"
ResPV_LosAngeles,2020,2644278.663,0,19832,0,0,0.056466767,2017,3.412,"taken from PUDL_database, NREL ATB, mid-market scenarios, atb_year=2020,  dollar_year=2018, "
ResPV_LosAngeles,2025,1884446.623,0,14133,0,0,0.047925639,2017,3.412,"taken from PUDL_database, NREL ATB, mid-market scenarios, atb_year=2020,  dollar_year=2018, "
ResPV_LosAngeles,2030,1124614.582,0,8435,0,0,0.053747998,2017,3.412,"taken from PUDL_database, NREL ATB, mid-market scenarios, atb_year=2020,  dollar_year=2018, "
ResPV_LosAngeles,2035,1057875.207,0,7934,0,0,0.053747998,2017,3.412,"taken from PUDL_database, NREL ATB, mid-market scenarios, atb_year=2020,  dollar_year=2018, "
ResPV_LosAngeles,2040,991135.8327,0,7434,0,0,0.053747998,2017,3.412,"taken from PUDL_database, NREL ATB, mid-market scenarios, atb_year=2020,  dollar_year=2018, "
ResPV_LosAngeles,2045,924396.458,0,6933,0,0,0.053747998,2017,3.412,"taken from PUDL_database, NREL ATB, mid-market scenarios, atb_year=2020,  dollar_year=2018, "
ResPV_LosAngeles,2050,857657.0834,0,6432,0,0,0.053747998,2017,3.412,"taken from PUDL_database, NREL ATB, mid-market scenarios, atb_year=2020,  dollar_year=2018, "
